speaker,utterance
A,she's accepted that there's a_lot_of good things in Rhode Island .
A,"And, um, you know e-, their life is a_lot less complicated, and she"
B,yeah .
B,Good .
A,And she's just not going to have the same kind of career that she
A,And he .
B,oh .
A,"yeah, he had been doing work for some environmental firm, as a"
B,uhhuh .
A,"And, it didn't work out ."
A,"He, um ."
A,He was changing projects every couple of weeks and he said he
A,He couldn't learn the whole new area .
B,mm .
A,that fast each time .
B,mm .
A,"um, and he says he went in and had some tests, and he was diagnosed"
A,Which .
A,"you know, given how he's how far he's gotten, you know, he got his"
A,um .
B,mm .
B,I wonder about it .
B,but anyway .
A,"yeah, but that's what he said ."
A,And um .
B,yeah .
A,He um .
B,Whatever's helpful .
A,Right .
A,So he found this new job as a financial consultant and seems to be
B,Good .
A,And then we saw Leo and Julie at Christmas time .
B,uhhuh .
A,And they're doing great .
A,"um, they had just moved to ."
B,"He's in New_York now, right ?"
A,a really nice house in Westchester .
A,"yeah, an o- ."
B,Good .
A,an older home that you know Julie is of course carving up and
A,um .
B,uhhuh .
A,Now she had a job with an architectural group when she first got
A,She said they had her doing things that she really wasn't qualified
B,ah .
A,and that she d- really didn't feel competent doing .
A,"And, they mutually agreed that she should leave ."
B,[LAUGHS] .
A,And so she was looking for another job .
A,"And, um, I'm sure she'll find one ."
A,She's so talented .
A,She may have found one by now .
A,um .
B,"yeah, oh yeah ."
B,"Amazing, yeah ."
A,"yeah, and so we met, um, [LIPSMACK] uh Adrian, their kid, who was"
B,uhhuh .
A,and just a really lovely little boy .
B,right yeah .
A,He's so big [LAUGHS] .
B,"Well, it-, uh Leo's, Leo's big ."
A,"you know, he's he's got Leo's genes ."
A,yeah .
B,yeah .
A,[LAUGHS] And uh Ron and Doris sent us a picture of theirs and he
A,He really looks like Ron .
B,oh that's life .
A,"um, and he looked really big too ."
A,"In this picture, he's three and a half ."
B,yeah .
B,huh .
A,"um, but Leo and Julie just seemed, um ."
A,sort of happy with the decisions they've made .
A,And .
B,Good .
A,"um, like every [UNINTELLIGIBLE] ."
B,"Whe-, now is he with a publishing house now ?"
B,Which one is he with .
A,Yes which one um .
B,Well I can [UNINTELLIGIBLE] yeah It's one of these sort of universi- the public
A,It might be a Hard Core Brace .
A,I'm not sure .
B,oh yeah .
A,I have two friends in publishing .
A,It may be the other one that just took the job with Hard Core Brace
A,I don't remember which one .
B,yeah .
B,"Anyway, he's he's enjoying it and liking it and they're doing okay ."
A,yeah he seems to feel really like he's doing the right thing and he
B,Great .
A,still in academic publishing .
A,My other friend just moved to trade publishing after years in
B,mhm .
A,um you know .
A,It feels like maybe she made a compromise but it's like three times
B,wow wow [LIPSMACK] [LIPSMACK] [LIPSMACK] [LIPSMACK] [LIPSMACK] .
A,industry and academics [LAUGHS] um .
B,Terrible .
A,yeah it's amazing and um .
A,you know ages ago I got a card from Liz Gana .
A,I told you this .
A,because uh you showed us her picture .
B,yeah yeah Crazy .
A,um and I keep thinking maybe I'd get in touch but I haven't done
A,and then I saw in the um Tufts thing that Ginny Totta is living
B,yeah .
