speaker,utterance
B,yup . and um .
A,that's wonderful .
B,I made a blueberry lime jam .
A,ooh .
B,and the first time I made it it came out perfect .
A,uhhuh .
B,but then I made it again like last week and it didn't come out
A,oh . [BREATHES] so did you have to just dump the whole thing out ?
B,well I I haven't thrown it away yet because it . it just +/.
A,try to .
B,"+, didn't get thick enough ."
A,oh okay .
B,but it's still like good on pancakes .
A,oh yeah .
B,and stuff like that .
A,yeah make it like syrup instead .
B,so . it's like a sauce yeah .
A,yeah . cool .
B,but and &+the it's it's really &+ha I don't know if you've ever
A,[UNINTELLIGIBLE] . unhunh . nope [BREATHES] .
B,and when you do something wrong you don't know what you did wrong
A,mhm .
B,and why it [BREATHES] and you don't know if it's going to come out you know .
A,yeah .
B,"until it comes out, or it doesn't come out ."
A,"yeah . yeah till you're done with it, yeah ."
B,and then it's like . fuck man you know I wasted all this time [BREATHES] and energy and
A,[CHANNEL_NOISE] . [LAUGHS] . yup .
B,"+, sauna ."
A,yup [BREATHES] .
B,[CHANNEL_NOISE] .
A,shit .
B,and it didn't come out right .
A,[UNINTELLIGIBLE] .
B,I mean you know .
A,doesn't Jeanette . do canning and stuff ?
B,oh I don't know she might .
A,she does [=! background voice] because she sent me some jellies +/.
B,does she ? yeah .
A,"+, for christmas last year ."
B,yeah .
A,so she might know .
B,"probably, yeah ."
A,yeah .
B,but . it was fun to you know try it and then you know you just get
A,yeah . yeah [=! distorted] . uhhuh . [CHANNEL_NOISE] yup .
