speaker,utterance,relational_score,info_score
EPH,"How fast can you get one? I don't know; I don't see the number here anyway [BREATHING]. I don't see it here, I wrote it down somewhere else. I don't know. I wrote it, there it is [arrow pointing up]. No, that's not it. I don't have the number anyway. Oh, maybe this is it [arrow pointing up]. Yes, I have it.",2,2
SON,Hello,2,1
EPH,yes,2,2
SON,yes [breathy voice],3,1
EPH,"You do like this, dial U-eight.",2,3
SON,"one hundred and eighty [softly, to himself]",2,2
EPH,"six, two six.",2,2
SON,yes,2,2
EPH,three nine nine eight,2,2
SON,"nine, nine, eight, yes.",2,2
EPH,"and then you'll hear a voice tone. It'll say, put in your code number.",2,3
SON,"yeah, so what's this",2,2
EPH,It's six twenty-eight.,2,3
SON,"six, two, eight",2,1
EPH,nine twenty-five,2,2
SON,nine twenty-five,2,1
EPH,two seven,2,2
SON,two seven,2,1
EPH,"Eight, nine.",2,2
SON,eight nine wow.,2,1
EPH,"and then you'll hear a voice tone. It will tell you to dial the number, your number that you're calling.",2,3
SON,diagonal [UNINTELLIGIBLE] (0.5) yeah,2,2
EPH,you just dial her number,2,3
SON,"Seven, eight, three, eight, eight, two, one",2,2
EPH,"Her number, I don't know it. You want to know her number?",2,2
SON,She gave it to me last night. I have enough now.,3,4
EPH,"Yes, I agree. But I don't think it's a good idea for her to wait. It's not a good idea.",3,2
SON,what's up,2,1
EPH,"She shouldn't wait by the road, let her go instead. She can't know when he'll arrive and it's risky for you to wait at the seventeenth [location].",4,4
SON,"not really on the road, he told me (he wasn't) on the highway.",3,3
EPH,yes,2,2
SON,"He's on the road, inside the camp, not in a bunkhouse or something.",3,4
EPH,he'll go into Monroe.,2,3
SON,"He told me he's passing Monroe anyway, it's on the [NOISE]",3,3
EPH,It's out of the way (repeat).,2,2
SON,So,3,2
EPH,"I was at, I just went to Monroe. It's out of the way.",3,3
SON,Oh (paused),2,1
EPH,"and even to go into Monroe, and to go off the highway",3,3
SON,"""hey man, where ya at?""",3,2
EPH,"don't be matriarchs like him any further. You just, um.",2,1
SON,"yes, well [UNINTELLIGIBLE]",2,2
EPH,"you just tell her to not do it, that's what Tatie@s said.",3,3
SON,I'll tell her to get her own transportation.,3,3
EPH,"tell her to find her own ride, or she could take a bus, so.",2,2
SON,Ok,2,1
EPH,"If she has any trouble, she should call me. But I don't.",3,3
SON,"I asked him already, so I'll tell him to forget about it, she can do it.",3,3
EPH,"You just need to ask him, you can tell him.",2,2
SON,Yes,2,2
EPH,"That's not a problem, and you just said that I don't want it.",3,2
SON,[UNINTELLIGIBLE],2,1
EPH,it took us an hour to find Esther's bunk one time when we were in [once],3,3
SON,okay,2,1
EPH,"It's a forkrunsten place, so tell Esther, forget about that, she should find her own ride home if she can't. Otherwise, she should call me.",2,4
SON,Okay,2,1
EPH,"we'll see you, im_yirtse_hashem@s",3,1
SON,she should just go home. She shouldn't call you.,2,3
EPH,what went up,2,2
SON,"if she finds a ride, she should just take it.",3,3
EPH,"yes if she finds a ride come home if she encounters any issues today, let her call me.",4,3
SON,Ok,3,1
EPH,you'll be home around 3:30 or 4.,2,4
SON,"he's leaving at one o'clock, said so.",2,3
EPH,He's coming to Borough Park,3,3
SON,"I think so, yeah.",3,2
EPH,uh-huh,2,1
SON,to where I live,3,3
EPH,anything you want to take care of,3,2
SON,glasses broke today,3,4
EPH,Your glasses broke.,3,3
SON,"you could just get a new handle, he might say.",3,3
EPH,bring all parts home,2,3
SON,yes,2,2
EPH,"okay, unintelligible (moving up)",3,2
SON,okay,2,1
EPH,"I'll see you, im_yirtse_hashem@s, tomorrow.",3,3
SON,okay,2,1
EPH,"The Vortex is in Flatbush, at East 17th Street.",2,4
SON,a hall (goes up),2,2
EPH,"yes, a hall in a school",3,3
SON,Chaya is nice and then little,2,2
EPH,"Chaya's beautiful, we have pictures. They took pictures, right?",3,3
SON,It's by their house.,3,3
EPH,"In their house, yeah, I'll tell you everything when you come home.",4,4
SON,Okay,3,1
EPH,"Okay, we're looking forward to seeing you. (Zais gezunts was ignored)",3,3
SON,okay bye,2,1
EPH,Colt took,2,3
