speaker,utterance,social_score,info_score
A,So he tested his urine and i- nothing showed up in that so he said his appendix is sore .,1,3
B,and probably inflamed .,3,3
A,and so it probably inflamed but he didn't really want to do No you mean because it's uh obviously not . you know .,3,1
B,0 .,1,2
A,that severe I don't know .,2,1
B,going to . oh how [DISTORTION] funny [=! distorted] .,1,1
A,so he said just wait it out and keep an eye on him . So I'm like oh .,3,3
B,yeah you don't want it to burst or whatever .,3,3
A,yeah .,3,2
B,oh usually they well you'd think they'd send him in for an,4,3
A,I would think so but maybe because of the holiday .,3,3
B,[DISTORTION] you know [=! distorted] . [DISTORTION] yeah [=! distorted] .,1,2
A,I don't know .,1,2
B,No it's Rosie got a half hour [LAUGHS] oh yeah Lacey says who is it,2,4
A,Do you have to leave . [GASP] oh do you have to go .,4,3
B,No .,4,4
A,oh okay .,3,2
B,eh no I said he just said who is it [INHALES] so [LIPSMACK] .,1,1
A,oh .,2,2
B,[DISTORTION] aw that's scary that [=! distorted] .,1,3
A,[INHALES] oh tell him I said hi . I know .,1,2
B,yeah he just walked away [INHALES] I wonder if .,4,3
A,okay . oh brother .,4,2
B,Well if he has pain are you going to take him to the hospital any,3,3
A,yup . yeah yeah and it was funny because um he's like . and when you take him to the hospital don't go anywhere else but,1,2
B,oh+my+gosh .,3,1
A,an- an- and then Bob's like well we go to Lake Forest and and I and [BREATH] he doesn't like Lake Forest [LAUGHS] right in front of him,3,3
B,oh he doesn't .,2,3
A,[BREATH] No I don't think so [BREATH] he didn't stop me [LAUGHS] so um .,3,1
B,Lutheran General [BREATH] I wonder if they have like a special,3,3
A,[BREATH] they do it's that [BREATH] they have uh um that's uh,2,1
B,because uh it's so big . oh I see so they know .,2,1
A,so it's a special [DISTORTION] unit [=! distorted] . yeah he's like no if you have kids that need to be operated on,1,4
B,they know [ECHO] . oh really .,2,1
A,yeah so anyway I thought that was interesting . So how's work ?,3,4
B,I was going to say that's I was going to say that's good to know,2,1
A,[LAUGHS] .,4,4
B,[LAUGHS] I'm stupid [LAUGHS] I'm so stupid [LAUGHS] work is okay,1,1
A,[LAUGHS] Jack was like Jack was Lutheran General right . [LAUGHS] that's funny .,1,1
B,um yeah I .,1,3
A,Is it .,2,3
B,have gotten to know .,3,2
A,what [DISTORTION] are you [=! distorted] .,1,3
B,the people a little bit more they've they've been there for two,3,3
A,yeah . yeah .,2,1
B,so . I was like the n- the only new girl that I think they've ever had .,1,4
A,wow .,2,1
B,maybe one of them anyway so .,2,2
A,so what are you doing though .,3,3
B,working as a nurse doing [BREATH] at a medical center so it's like,3,3
A,oh .,2,4
B,[NOISE] doing [LIPSMACK] helping with procedures .,1,2
A,yeah .,2,1
B,um cleaning doing reception stuff like that .,3,2
A,oh wow .,3,1
B,it's just all different things .,2,2
A,yeah .,2,1
B,[BREATH] but I don't know if I want to stay there for a real long,3,3
A,oh wow .,2,1
B,I know [BREATH] it's kind of .,3,2
A,that's nice .,2,2
B,I it is nice because . eh when I first got here I got this job and it was like eight hours,3,3
A,uh . yeah .,2,2
B,because like I felt oh I got to do stuff at home and I'm just not,2,2
A,yeah . yeah .,2,1
B,just to have a fulltime job right away .,4,3
A,yeah .,3,2
B,but .,2,2
A,I bet .,2,2
B,So now this is this has seemed . this is better for me .,1,3
A,good .,2,2
B,so I like it .,3,3
A,that's neat .,3,4
B,yeah and then [LIPSMACK] what else .,3,3
A,that's [?] [DISTORTION] .,2,2
B,So that's good and .,3,3
A,what have you guys been doing for fun . obviously having your party .,4,3
B,we've . yeah we ha- eh have been decorating . getting ready for Christmas we made a really big gingerbread house,3,4
A,oh . You g- you guys [=! whispered] .,3,2
B,We had we got a .,1,1
A,[DISTORTION] gingerbread house [=! distorted] .,1,2
B,made a big gingerbread house one weekend um .,3,2
A,yeah .,2,2
B,[LIPSMACK] we went away . last weekend with Leith's work .,3,3
A,oh really .,2,2
B,because [ECHO] yeah they .,4,3
A,where did you guys go .,2,4
B,gave us . they gave us a weekend away [BREATH] .,4,3
A,oh .,2,2
B,Well they the whole little office went to . this motel or .,2,3
A,uhhuh .,2,1
B,on the beach [ECHO] so we . that was . okay we went [BREATH] with . his um work and . we went to the beach .,2,3
A,oh how fun .,3,3
B,so kind of stayed the weekend on the beach so that was nice .,4,3
A,<bet it's uh> [?] that does sound fun .,3,2
B,yeah [=! whispered] it is . was [INHALES] but it's yeah . funny because y- [LAUGHS] I don't really like the ocean [LAUGHS] .,3,1
A,you don't well I don't like [DISTORTION] swimming in it,1,4
B,No I I I know I don't like it . I mean it's pretty to look at but .,3,1
A,I . yeah well that's I like sitting out there but that's about it,2,2
B,that's about it I don't like I would never want to live on the,1,4
A,me neither .,4,2
B,it scares me I'm afraid to get eaten by a shark [BREATH] .,2,4
A,Well .,2,2
B,So [DISTORTION] .,1,3
A,when I was down in Florida with Maureen Quinn when I was a freshman,4,3
B,right .,2,2
A,we were playing I mean just jumping up and down into the waves .,4,3
B,[UNINTELLIGIBLE] .,1,1
A,and a jellyfish did I tell you this .,3,3
B,yeah . No .,3,2
A,It stung me under my arm and my whole side was par- not paralyzed,1,4
B,[GASP] oh my [DISTORTION] gosh [=! distorted] .,4,1
A,for like three days I mean it was weird . and ever since then I'm like I am not going into that water,3,3
B,yeah I don't like it [BREATH] .,2,1
A,because you can't see the stupid jellyfish +/.,3,1
B,No you can't see anything .,3,3
A,and they're clear .,3,3
B,And what if a shark came up when y- I mean you're in the waves .,4,4
A,yeah .,3,2
B,I know it sounds ridiculous but it does happen here .,4,4
A,oh really .,3,2
B,[UNINTELLIGIBLE] [DISTORTION] oh yeah . so [SIGH] I don't know [NOISE] .,1,1
A,you mean there eh you're not you're not exaggerating .,2,3
B,well I don't think I'm being like . a big baby .,1,2
A,no .,4,2
B,I don't make a big deal about it I'll go in the water but I just,3,3
A,yeah .,2,2
B,I just don't like it . eh it's dirty [LAUGHS] .,3,3
A,oh Amy how weird .,3,4
B,yeah .,3,2
A,yeah it's just it's so funny to think that that's a different place,4,3
B,I know it is it's so funny .,4,2
A,I forget . I forget that you have different sit- circumstances .,3,2
B,I know [BREATH] like . like we were just talking today at church like nobody decorates,1,2
A,oh no .,3,2
B,and I guess this street in . in one suburb decided they were all going to put lights up .,3,3
A,uhhuh .,2,2
B,so everybody was went and . like the group went down to see these lights [=! laughing] .,3,4
A,oh you're kidding did that .,3,3
B,[LAUGHS] on the street and all it was was Christmas lights on,3,3
A,[LAUGHS] .,3,2
B,[LAUGHS] .,2,4
A,It's funny .,4,2
B,[LAUGHS] isn't it funny [LAUGHS] they were all [ECHO] .,3,2
A,[LAUGHS] that is funny .,2,2
B,It's on the news and .,4,3
A,oh Amy [=! laughing] .,3,1
B,like everybody's in like talking about these people with Christmas [LAUGHS] [ECHO] .,1,4
A,oh is that cute .,3,4
B,I know .,3,2
A,that's so funny .,4,2
B,they just don't they just don't do w- . at all like the decorations that we do .,3,3
A,w- no .,3,2
B,and it's just a different yeah different feeling .,3,3
A,you should see I went overboard with my house this year .,4,4
B,[GASP] oh isn't it fun [DISTORTION] though [=! distorted] .,1,1
A,oh+my+god . I've got greens and lights on everything it's just it's so fun .,3,1
B,oh shut up [ECHO] isn't it pretty .,1,1
A,yeah it is it looks really cool .,1,3
B,I love that [LIPSMACK] .,3,2
A,um . but because last year I didn't get to do it because the baby you,1,1
B,yeah .,3,4
A,so I was like oh I want to decorate so bad .,3,3
B,I bet .,2,2
A,so I had fun .,3,2
B,I bet Scott's getting big I li- .,4,2
A,oh he's such a monster .,2,3
B,is he ?,3,4
A,yes .,3,2
B,[LAUGHS] .,3,1
A,uh hey did you get our package .,2,3
B,yes .,2,2
A,you did did you see the pictures .,2,3
B,yes . [INHALES] . We were supposed to tell you we didn't open it [LAUGHS] .,3,3
