speaker,utterance,relational_score,info_score
A,[CHANNEL_NOISE] that's why well whenever we go out I always make that I leave a tip .,3,3
B,yeah .,3,2
A,you know unless . the service is really lousy .,3,4
B,yeah .,2,2
A,"and then she knows it, you know, I mean she knew she what she did",3,3
B,mhm . [BACKGROUND_NOISE] right .,3,2
A,but if they give any effort at all [SWALLOW] they get a good tip,3,3
B,right . yeah .,2,2
A,[BREATHES] .,2,1
B,yup .,3,1
A,"I wouldn't want to have to be doing this right now, so thank you",4,2
B,right . right .,3,1
A,[LAUGHS] .,3,1
B,exactly .,3,1
A,"[LAUGHS] I didn't want to cook tonight so somebody there did,",3,2
B,[LAUGHS] . [BREATHES] yeah .,3,2
A,yup [BREATHES] . but [BREATHES] . yeah I don't know .,3,2
B,[CHANNEL_NOISE] but we're &+hangi we're hanging in there .,3,2
A,are you ?,3,2
B,yeah . [BREATHES] yup [=! clears throat] .,3,1
A,it's tough though .,3,3
B,it is . but . we had a big huge garden this [BACKGROUND_NOISE] year .,3,3
A,oh did you ?,3,2
B,yeah we made tomato sauce today .,3,3
A,oh neat . oh cool .,2,2
B,yeah it's . bubbling away on the stove .,3,2
A,[CHANNEL_NOISE] . oh bet your house smells wonderful .,3,2
B,it smells so good .,3,2
A,god .,3,1
B,[SIGHS] .,3,2
A,[SIGHS] . I just remember your house from when we were there .,3,3
B,yeah [BACKGROUND_NOISE] yup [BACKGROUND_NOISE] .,3,2
A,I just love that house . that kitchen .,3,3
B,yeah [BACKGROUND_NOISE] .,2,2
A,[BREATHES] you know the kitchen was the focal point in the whole,3,3
B,yup . mhm .,3,2
A,[UNINTELLIGIBLE] . comfortable place to settle and you know it was just neat .,3,3
B,[BACKGROUND_NOISE] yup . [CHANNEL_NOISE] . and it smells good and .,3,2
A,yep [BREATHES] [CHANNEL_NOISE] .,2,1
B,I made um . [BREATHES] a couple of times I made bread and butter pickles .,3,4
A,oh did you oh good .,3,2
B,yup . and um .,2,2
A,that's wonderful .,3,2
B,I made a blueberry lime jam .,3,3
A,ooh .,2,2
B,and the first time I made it it came out perfect .,3,3
A,uhhuh .,2,2
B,but then I made it again like last week and it didn't come out,3,3
A,oh . [BREATHES] so did you have to just dump the whole thing out ?,3,3
B,well I I haven't thrown it away yet because it . it just +/.,3,2
A,try to .,3,2
B,"+, didn't get thick enough .",3,2
A,oh okay .,2,2
B,but it's still like good on pancakes .,3,2
A,oh yeah .,2,2
B,and stuff like that .,2,1
A,yeah make it like syrup instead .,3,3
B,so . it's like a sauce yeah .,3,2
A,yeah . cool .,3,2
B,but and &+the it's it's really &+ha I don't know if you've ever,3,2
A,[UNINTELLIGIBLE] . unhunh . nope [BREATHES] .,2,1
B,and when you do something wrong you don't know what you did wrong,3,3
A,mhm .,2,1
B,and why it [BREATHES] and you don't know if it's going to come out you know .,3,4
A,yeah .,2,2
B,"until it comes out, or it doesn't come out .",2,2
A,"yeah . yeah till you're done with it, yeah .",3,1
B,and then it's like . fuck man you know I wasted all this time [BREATHES] and energy and,3,3
A,[CHANNEL_NOISE] . [LAUGHS] . yup .,3,2
B,"+, sauna .",3,2
A,yup [BREATHES] .,3,1
B,[CHANNEL_NOISE] .,2,1
A,shit .,2,1
B,and it didn't come out right .,3,2
A,[UNINTELLIGIBLE] .,2,2
B,I mean you know .,3,1
A,doesn't Jeanette . do canning and stuff ?,3,3
B,oh I don't know she might .,3,2
A,she does [=! background voice] because she sent me some jellies +/.,3,4
B,does she ? yeah .,3,2
A,"+, for christmas last year .",3,3
B,yeah .,2,2
A,so she might know .,3,2
B,"probably, yeah .",3,2
A,yeah .,3,1
B,but . it was fun to you know try it and then you know you just get,3,3
A,yeah . yeah [=! distorted] . uhhuh . [CHANNEL_NOISE] yup .,3,2
